# step, gen_loss, dis_loss
672, -1.886134E+01, -2.647239E+01
673, -1.766158E+01, -2.648786E+01
674, -1.895223E+01, -2.644493E+01
675, -2.130909E+01, -2.641731E+01
676, -2.250978E+01, -2.645152E+01
677, -1.991667E+01, -2.645754E+01
678, -1.003697E+01, -2.634626E+01
679, -1.776049E+01, -2.642174E+01
680, -1.803241E+01, -2.639843E+01
681, -2.140788E+01, -2.640588E+01
682, -2.097003E+01, -2.638638E+01
683, -2.003314E+01, -2.625101E+01
684, -2.063398E+01, -2.637166E+01
685, -1.990070E+01, -2.623461E+01
686, -2.869455E+01, -2.632476E+01
687, -2.309298E+01, -2.626619E+01
688, -2.424447E+01, -2.631698E+01
689, -2.125093E+01, -2.623502E+01
690, -1.985489E+01, -2.629677E+01
691, -2.115914E+01, -2.627721E+01
692, -1.422884E+01, -2.617858E+01
693, -1.821349E+01, -2.624754E+01
694, -1.851096E+01, -2.619582E+01
695, -1.774499E+01, -2.624203E+01
696, -1.579765E+01, -2.622210E+01
